name,sku,pack_size,mrp,selling_price,sound_level,stock,category,description
"2 3/4"" Kuruvi","VAV-001","5 Pcs",80.00,8.00,,,"ONE SOUND CRACKERS","2 3/4"" குருவி"
"3 1/2"" Lakshmi","VAV-002","5 Pcs",110.00,11.00,,,"ONE SOUND CRACKERS","3 1/2"" லட்சுமி"
"4"" Lakshmi","VAV-003","5 Pcs",190.00,19.00,,,"ONE SOUND CRACKERS","4"" லட்சுமி"
"4"" Deluxe Lakshmi","VAV-004","5 Pcs",250.00,25.00,,,"ONE SOUND CRACKERS","4"" டீலக்ஸ் லட்சுமி"
"4"" Gold Lakshmi","VAV-005","5 Pcs",300.00,30.00,,,"ONE SOUND CRACKERS","4"" கோல்டு லட்சுமி"
"5"" Deluxe Lakshmi","VAV-006","5 Pcs",430.00,43.00,,,"ONE SOUND CRACKERS","5"" டீலக்ஸ் லட்சுமி"
"6"" Deluxe Lakshmi/Jallikattu","VAV-007","5 Pcs",660.00,66.00,,,"ONE SOUND CRACKERS","6"" டீலக்ஸ் லட்சுமி/ஜல்லிகட்டு"
"Two Sound Crackers","VAV-008","5 Pcs",350.00,35.00,,,"ONE SOUND CRACKERS","2 சவுண்டு கிராக்காஸ்"
"Flower Pots Special","VAV-009","10 Pcs",800.00,80.00,,,"FLOWER POTS","பூச்சட்டி ஸ்பெஷல்"
"Flower Pots Ashoka","VAV-010","10 Pcs",1200.00,120.00,,,"FLOWER POTS","பூச்சட்டி அசோகா"
"Flower Pots Deluxe","VAV-011","5 Pcs",2200.00,220.00,,,"FLOWER POTS","பூச்சட்டி டீலக்ஸ்"
"Flower Pots Color Koti Dix","VAV-012","10 Pcs",1900.00,190.00,,,"FLOWER POTS","பூச்சட்டி கலர் கோட்டி"
"Ground Chakkar Big","VAV-013","25 Pcs",800.00,80.00,,,"GROUND CHAKKAR","தரைச்சக்கரம் பெரியது"
"Ground Chakkar Big","VAV-014","10 Pcs",400.00,40.00,,,"GROUND CHAKKAR","தரைச்சக்கரம் பெரியது"
"Ground Chakkar Special","VAV-015","10 Pcs",800.00,80.00,,,"GROUND CHAKKAR","தரைச்சக்கரம் ஸ்பெஷல்"
"Ground Chakkar Deluxe","VAV-016","10 Pcs",1400.00,140.00,,,"GROUND CHAKKAR","தரைச்சக்கரம் டீலக்ஸ்"
"Ground Chakkar Disco Wheel","VAV-017","5 Pcs",1200.00,120.00,,,"GROUND CHAKKAR","தரைச்சக்கரம் டிஸ்கோ வீல்"
"Wire Chakkar","VAV-018","10 Pcs",1600.00,160.00,,,"GROUND CHAKKAR","வயர் சக்கரம்"
"Moon Wheel","VAV-019","10 Pcs",2000.00,200.00,,,"GROUND CHAKKAR","மூன் வீல்"
"1 1/2"" Twinkling Star","VAV-020","10 Pcs",250.00,25.00,,,"TWINKLING STARS & PENCILS","1 1/2"" சாட்டை"
"4"" Twinkling Star","VAV-021","10 Pcs",700.00,70.00,,,"TWINKLING STARS & PENCILS","4"" சாட்டை"
"10"" Pencil","VAV-022","10 Pcs",400.00,40.00,,,"TWINKLING STARS & PENCILS","10"" பென்சில்"
"12"" Pencil","VAV-023","10 Pcs",530.00,53.00,,,"TWINKLING STARS & PENCILS","12"" பென்சில்"
"15"" Pencil","VAV-024","10 Pcs",800.00,80.00,,,"TWINKLING STARS & PENCILS","15"" பென்சில்"
